symbol,trade_id,alert_date,alert_price,alert_vol,strike,expiry_date,days_to_expiry,straddle_cost,exit_date,exit_price,exit_pnl,exit_pnl_pct,exit_reason,days_held,scale_factor,scaled_cost,scaled_exit,scaled_pnl
PETR4.SA,14,2025-11-18,32.99,0.0131,32.99,2025-12-19,31,0.23,2025-11-25,0.54,0.31,136.39,20% target,7,4347.826086956522,1000,2347.826086956522,1347.826086956522
PETR4.SA,15,2025-11-24,32.54,0.013,32.54,2025-12-19,25,0.18,2025-11-28,0.6,0.42,228.65,20% target,4,5555.555555555556,1000,3333.3333333333335,2333.3333333333335
PETR4.SA,16,2025-12-10,31.94,0.0122,31.94,2026-01-16,37,0.26,2025-12-16,0.98,0.72,278.93,20% target,6,3846.153846153846,1000,3769.230769230769,2769.230769230769
PETR4.SA,17,2026-01-08,30.2,0.0128,30.2,2026-02-20,43,0.28,2026-01-09,0.38,0.09,32.31,20% target,1,3571.428571428571,1000,1357.142857142857,357.1428571428571
PETR4.SA,18,2026-01-19,32.17,0.013,32.17,2026-02-20,32,0.23,2026-01-20,0.34,0.11,48.16,20% target,1,4347.826086956522,1000,1478.2608695652175,478.2608695652175
PETR4.SA,19,2026-02-27,39.33,0.013,39.33,2026-03-20,21,0.19,2026-03-02,1.95,1.77,938.37,20% target,3,5263.157894736842,1000,10263.157894736842,9263.157894736842
VALE3.SA,1,2023-04-03,80.31,0.0134,80.31,2023-05-19,46,0.81,2023-04-04,1.48,0.67,82.86,20% target,1,1234.567901234568,1000,1827.1604938271605,827.1604938271605
VALE3.SA,2,2023-10-13,66.59,0.0119,66.59,2023-11-17,35,0.51,2023-10-16,1.18,0.66,129.47,20% target,3,1960.7843137254902,1000,2313.7254901960782,1313.7254901960782
VALE3.SA,3,2023-11-21,77.9,0.0132,77.9,2023-12-15,24,0.42,2023-11-22,2.66,2.24,529.3,20% target,1,2380.952380952381,1000,6333.333333333334,5333.333333333334
VALE3.SA,4,2023-12-18,74.21,0.0134,74.21,2024-01-19,32,0.53,2023-12-19,1.02,0.49,93.74,20% target,1,1886.7924528301885,1000,1924.5283018867924,924.5283018867924
VALE3.SA,5,2024-05-07,64.58,0.0113,64.58,2024-06-21,45,0.63,2024-05-16,0.84,0.2,31.93,20% target,9,1587.3015873015872,1000,1333.3333333333333,333.33333333333326
VALE3.SA,6,2024-09-02,58.74,0.0112,58.74,2024-10-18,46,0.59,2024-09-03,1.61,1.02,173.42,20% target,1,1694.9152542372883,1000,2728.8135593220345,1728.8135593220345
VALE3.SA,7,2024-10-24,59.7,0.0128,59.7,2024-11-15,22,0.3,2024-10-25,2.3,2.01,675.34,20% target,1,3333.3333333333335,1000,7666.666666666666,6666.666666666666
VALE3.SA,8,2024-11-05,62.12,0.0135,62.12,2024-12-20,45,0.61,2024-11-07,2.02,1.41,229.56,20% target,2,1639.344262295082,1000,3311.475409836066,2311.475409836066
VALE3.SA,9,2025-01-10,51.52,0.0121,51.52,2025-02-21,42,0.47,2025-01-14,0.76,0.28,59.81,20% target,4,2127.6595744680853,1000,1617.021276595745,617.0212765957449
VALE3.SA,10,2025-02-27,56.3,0.0117,56.3,2025-03-21,22,0.28,2025-02-28,0.89,0.61,221.71,20% target,1,3571.428571428571,1000,3178.5714285714284,2178.5714285714284
VALE3.SA,11,2025-05-14,54.9,0.0137,54.9,2025-06-20,37,0.45,2025-05-15,0.98,0.53,118.5,20% target,1,2222.222222222222,1000,2177.777777777778,1177.7777777777778
VALE3.SA,12,2025-08-12,55.91,0.013,55.91,2025-09-19,38,0.47,2025-08-13,1.37,0.9,192.54,20% target,1,2127.6595744680853,1000,2914.8936170212774,1914.8936170212774
VALE3.SA,13,2025-08-18,53.2,0.0137,53.2,2025-09-19,32,0.38,2025-08-21,0.59,0.21,54.89,20% target,3,2631.578947368421,1000,1552.631578947368,552.6315789473681
ITUB4.SA,1,2023-06-23,25.3,0.0101,25.3,2023-07-21,28,0.16,2023-06-28,0.33,0.17,104.66,20% target,5,6250,1000,2062.5,1062.5
ITUB4.SA,2,2023-07-13,25.23,0.0111,25.23,2023-08-18,36,0.19,2023-07-17,0.39,0.2,101.88,20% target,4,5263.157894736842,1000,2052.6315789473683,1052.6315789473683
ITUB4.SA,3,2023-08-16,23.89,0.0112,23.89,2023-09-15,30,0.16,2023-08-22,0.3,0.14,90.18,20% target,6,6250,1000,1875,875
ITUB4.SA,4,2024-01-15,29.52,0.0093,29.52,2024-02-16,32,0.21,2024-01-18,0.33,0.12,57.33,20% target,3,4761.904761904762,1000,1571.4285714285716,571.4285714285716
ITUB4.SA,5,2024-03-21,30.4,0.0088,30.4,2024-04-19,29,0.19,2024-03-22,0.45,0.26,137.97,20% target,1,5263.157894736842,1000,2368.4210526315787,1368.4210526315787
ITUB4.SA,6,2024-06-05,27.8,0.0105,27.8,2024-07-19,44,0.27,2024-06-06,0.62,0.35,128.74,20% target,1,3703.7037037037035,1000,2296.296296296296,1296.296296296296
ITUB4.SA,7,2024-09-11,32.99,0.01,32.99,2024-10-18,37,0.27,2024-09-18,0.38,0.11,42.06,20% target,7,3703.7037037037035,1000,1407.4074074074074,407.4074074074074
ITUB4.SA,8,2024-10-18,31.14,0.0112,31.14,2024-11-15,28,0.19,2024-10-23,0.24,0.05,27.6,20% target,5,5263.157894736842,1000,1263.1578947368419,263.15789473684185
ITUB4.SA,9,2024-11-11,31,0.0112,31,2024-12-20,39,0.26,2024-11-14,0.38,0.11,43.84,20% target,3,3846.153846153846,1000,1461.5384615384617,461.53846153846166
ITUB4.SA,10,2025-04-14,31.39,0.0108,31.39,2025-05-16,32,0.22,2025-04-15,0.61,0.39,178.34,20% target,1,4545.454545454545,1000,2772.7272727272725,1772.7272727272725
ITUB4.SA,11,2025-05-07,34.02,0.0103,34.02,2025-06-20,44,0.33,2025-05-08,0.59,0.26,80.99,20% target,1,3030.30303030303,1000,1787.8787878787875,787.8787878787875
ITUB4.SA,12,2025-06-06,35.51,0.0102,35.51,2025-07-18,42,0.33,2025-06-16,0.5,0.17,50.04,20% target,10,3030.30303030303,1000,1515.151515151515,515.151515151515
ITUB4.SA,13,2025-08-08,35.95,0.0112,35.95,2025-09-19,42,0.33,2025-08-11,0.53,0.2,60.08,20% target,3,3030.30303030303,1000,1606.060606060606,606.060606060606
ITUB4.SA,14,2025-08-15,36.4,0.011,36.4,2025-09-19,35,0.28,2025-08-18,0.51,0.24,85.57,20% target,3,3571.428571428571,1000,1821.4285714285713,821.4285714285713
ITUB4.SA,15,2025-09-19,37.86,0.0109,37.86,2025-10-17,28,0.24,2025-09-22,0.33,0.1,40.26,20% target,3,4166.666666666667,1000,1375.0000000000002,375.0000000000002
ITUB4.SA,16,2025-09-25,37.36,0.0106,37.36,2025-10-17,22,0.18,2025-09-26,0.36,0.17,95.87,20% target,1,5555.555555555556,1000,2000,1000
ITUB4.SA,17,2025-10-10,36.06,0.0108,36.06,2025-11-21,42,0.33,2025-10-13,0.45,0.12,36.94,20% target,3,3030.30303030303,1000,1363.6363636363635,363.6363636363635
ITUB4.SA,18,2026-01-13,39.17,0.0112,39.17,2026-02-20,38,0.33,2026-01-14,0.75,0.42,129.04,20% target,1,3030.30303030303,1000,2272.7272727272725,1272.7272727272725
ITUB4.SA,19,2026-01-16,39.61,0.0111,39.61,2026-02-20,35,0.3,2026-01-20,0.58,0.27,90.26,20% target,4,3333.3333333333335,1000,1933.3333333333333,933.3333333333333
BBDC4.SA,1,2023-07-04,16.54,0.012,16.54,2023-08-18,45,0.16,2023-07-06,0.21,0.05,32.02,20% target,2,6250,1000,1312.5,312.5
BBDC4.SA,2,2023-09-01,14.99,0.013,14.99,2023-10-20,49,0.16,2023-09-05,0.26,0.1,63.55,20% target,4,6250,1000,1625,625
BBDC4.SA,3,2023-09-26,13.96,0.0133,13.96,2023-10-20,24,0.08,2023-09-28,0.36,0.28,371.31,20% target,2,12500,1000,4500,3500
BBDC4.SA,4,2023-10-25,14.14,0.0134,14.14,2023-11-17,23,0.07,2023-10-26,0.43,0.35,479.53,20% target,1,14285.714285714284,1000,6142.857142857142,5142.857142857142
BBDC4.SA,5,2023-12-12,16.25,0.0129,16.25,2024-01-19,38,0.14,2023-12-13,0.84,0.71,518.82,20% target,1,7142.857142857142,1000,5999.999999999999,4999.999999999999
BBDC4.SA,6,2023-12-15,17.42,0.0135,17.42,2024-01-19,35,0.14,2023-12-18,0.25,0.12,86.46,20% target,3,7142.857142857142,1000,1785.7142857142856,785.7142857142856
BBDC4.SA,7,2023-12-21,17.27,0.0129,17.27,2024-01-19,29,0.11,2023-12-22,0.33,0.22,199.93,20% target,1,9090.90909090909,1000,3000,2000
BBDC4.SA,8,2024-01-16,15.73,0.0128,15.73,2024-02-16,31,0.11,2024-01-17,0.13,0.03,23.44,20% target,1,9090.90909090909,1000,1181.8181818181818,181.81818181818176
BBDC4.SA,9,2024-03-08,13.84,0.0118,13.84,2024-04-19,42,0.13,2024-03-11,0.2,0.07,55.47,20% target,3,7692.307692307692,1000,1538.4615384615386,538.4615384615386
BBDC4.SA,10,2024-07-02,12.23,0.0135,12.23,2024-08-16,45,0.12,2024-07-03,0.16,0.04,30.35,20% target,1,8333.333333333334,1000,1333.3333333333335,333.3333333333335
BBDC4.SA,11,2024-07-04,12.32,0.0125,12.32,2024-08-16,43,0.12,2024-07-05,0.25,0.14,117.85,20% target,1,8333.333333333334,1000,2083.3333333333335,1083.3333333333335
BBDC4.SA,12,2024-09-03,15.75,0.013,15.75,2024-10-18,45,0.16,2024-09-04,0.27,0.12,74.54,20% target,1,6250,1000,1687.5,687.5
BBDC4.SA,13,2024-10-21,15.28,0.013,15.28,2024-11-15,25,0.09,2024-10-25,0.28,0.19,225.92,20% target,4,11111.111111111111,1000,3111.1111111111113,2111.1111111111113
BBDC4.SA,14,2024-11-11,13.46,0.0131,13.46,2024-12-20,39,0.12,2024-11-14,0.18,0.06,52.14,20% target,3,8333.333333333334,1000,1500,500
BBDC4.SA,15,2024-12-02,12.36,0.0135,12.36,2025-01-17,46,0.12,2024-12-04,0.2,0.07,59.23,20% target,2,8333.333333333334,1000,1666.666666666667,666.666666666667
BBDC4.SA,16,2025-06-05,15.97,0.0125,15.97,2025-07-18,43,0.15,2025-06-11,0.48,0.33,218.31,20% target,6,6666.666666666667,1000,3200,2200
BBDC4.SA,17,2025-06-18,16.76,0.0135,16.76,2025-07-18,30,0.11,2025-06-23,0.18,0.07,59.07,20% target,5,9090.90909090909,1000,1636.3636363636363,636.3636363636363
BBDC4.SA,18,2025-06-25,16.4,0.0134,16.4,2025-07-18,23,0.09,2025-06-26,0.23,0.14,167.12,20% target,1,11111.111111111111,1000,2555.5555555555557,1555.5555555555557
BBDC4.SA,19,2025-07-04,16.67,0.0134,16.67,2025-08-15,42,0.15,2025-07-10,0.4,0.25,159.13,20% target,6,6666.666666666667,1000,2666.666666666667,1666.666666666667
BBDC4.SA,20,2025-07-08,16.55,0.0135,16.55,2025-08-15,38,0.14,2025-07-10,0.28,0.14,101.66,20% target,2,7142.857142857142,1000,2000,1000
BBDC4.SA,21,2025-07-10,16.14,0.0125,16.14,2025-08-15,36,0.13,2025-07-18,0.37,0.24,190.34,20% target,8,7692.307692307692,1000,2846.153846153846,1846.1538461538462
BBDC4.SA,22,2025-09-16,16.99,0.0127,16.99,2025-10-17,31,0.12,2025-09-17,0.7,0.58,501.14,20% target,1,8333.333333333334,1000,5833.333333333333,4833.333333333333
BBDC4.SA,23,2025-09-23,17.85,0.0135,17.85,2025-10-17,24,0.1,2025-09-25,0.19,0.1,99.95,20% target,2,10000,1000,1900,900
BBDC4.SA,24,2025-09-25,17.57,0.0133,17.57,2025-10-17,22,0.09,2025-09-26,0.17,0.08,93.86,20% target,1,11111.111111111111,1000,1888.8888888888891,888.8888888888891
BBDC4.SA,25,2025-10-03,17.1,0.0127,17.1,2025-11-21,49,0.18,2025-10-15,0.4,0.21,117.26,20% target,12,5555.555555555556,1000,2222.222222222222,1222.2222222222222
BBDC4.SA,26,2025-10-09,17.08,0.0134,17.08,2025-11-21,43,0.16,2025-10-14,0.22,0.06,37.39,20% target,5,6250,1000,1375,375
BBDC4.SA,27,2025-10-15,17.36,0.0115,17.36,2025-11-21,37,0.14,2025-10-16,0.34,0.2,138.95,20% target,1,7142.857142857142,1000,2428.5714285714284,1428.5714285714284
BBDC4.SA,28,2025-11-28,19.65,0.0113,19.65,2025-12-19,21,0.09,2025-12-01,0.22,0.13,141.52,20% target,3,11111.111111111111,1000,2444.4444444444443,1444.4444444444443
BBDC4.SA,29,2025-12-04,19.27,0.0135,19.27,2026-01-16,43,0.18,2025-12-05,0.97,0.79,434.42,20% target,1,5555.555555555556,1000,5388.888888888889,4388.888888888889
ABEV3.SA,1,2023-05-03,14.58,0.0095,14.58,2023-06-16,44,0.14,2023-05-04,0.19,0.05,33.42,20% target,1,7142.857142857142,1000,1357.142857142857,357.1428571428571
ABEV3.SA,2,2023-06-30,15.41,0.0105,15.41,2023-07-21,21,0.07,2023-07-04,0.21,0.14,196.21,20% target,4,14285.714285714284,1000,2999.9999999999995,1999.9999999999995
ABEV3.SA,3,2023-07-05,15.21,0.0094,15.21,2023-08-18,44,0.15,2023-07-06,0.24,0.09,62.53,20% target,1,6666.666666666667,1000,1600,600
ABEV3.SA,4,2023-07-07,14.85,0.0101,14.85,2023-08-18,42,0.14,2023-07-10,0.29,0.15,110.29,20% target,3,7142.857142857142,1000,2071.428571428571,1071.428571428571
ABEV3.SA,5,2023-08-18,14.36,0.0103,14.36,2023-09-15,28,0.09,2023-08-22,0.14,0.05,53.23,20% target,4,11111.111111111111,1000,1555.5555555555557,555.5555555555557
ABEV3.SA,6,2023-09-20,13.47,0.0107,13.47,2023-10-20,30,0.09,2023-09-21,0.14,0.06,62.98,20% target,1,11111.111111111111,1000,1555.5555555555557,555.5555555555557
ABEV3.SA,7,2023-09-22,13.12,0.0106,13.12,2023-10-20,28,0.08,2023-09-25,0.17,0.09,112.5,20% target,3,12500,1000,2125,1125
ABEV3.SA,8,2024-01-22,13.36,0.0073,13.36,2024-02-16,25,0.07,2024-01-25,0.1,0.02,31.08,20% target,3,14285.714285714284,1000,1428.5714285714284,428.57142857142844
ABEV3.SA,9,2024-03-28,12.49,0.01,12.49,2024-04-19,22,0.06,2024-04-01,0.11,0.05,82.73,20% target,4,16666.666666666668,1000,1833.3333333333335,833.3333333333335
ABEV3.SA,10,2024-04-22,11.95,0.0106,11.95,2024-05-17,25,0.07,2024-04-24,0.15,0.08,127.72,20% target,2,14285.714285714284,1000,2142.8571428571427,1142.8571428571427
ABEV3.SA,11,2024-06-06,11.82,0.0105,11.82,2024-07-19,43,0.11,2024-06-07,0.15,0.04,36.67,20% target,1,9090.90909090909,1000,1363.6363636363635,363.6363636363635
ABEV3.SA,12,2024-06-18,11.25,0.0107,11.25,2024-07-19,31,0.08,2024-06-20,0.1,0.02,32.38,20% target,2,12500,1000,1250,250
ABEV3.SA,13,2024-06-26,11.45,0.0104,11.45,2024-07-19,23,0.06,2024-07-05,0.09,0.04,63.1,20% target,9,16666.666666666668,1000,1500,500
ABEV3.SA,14,2024-09-04,12.99,0.0106,12.99,2024-10-18,44,0.12,2024-09-09,0.23,0.11,84.74,20% target,5,8333.333333333334,1000,1916.666666666667,916.666666666667
ABEV3.SA,15,2025-02-18,11.09,0.0106,11.09,2025-03-21,31,0.08,2025-02-21,0.1,0.02,29.72,20% target,3,12500,1000,1250,250
ABEV3.SA,16,2025-05-14,14.23,0.0107,14.23,2025-06-20,37,0.12,2025-05-15,0.29,0.18,153.32,20% target,1,8333.333333333334,1000,2416.6666666666665,1416.6666666666665
ABEV3.SA,17,2025-08-28,12.25,0.0077,12.25,2025-09-19,22,0.06,2025-08-29,0.16,0.1,164.8,20% target,1,16666.666666666668,1000,2666.666666666667,1666.666666666667
ABEV3.SA,18,2025-10-06,11.85,0.0107,11.85,2025-11-21,46,0.12,2025-10-08,0.14,0.02,20.81,20% target,2,8333.333333333334,1000,1166.666666666667,166.66666666666697
ABEV3.SA,19,2025-10-09,11.72,0.0105,11.72,2025-11-21,43,0.11,2025-10-10,0.2,0.09,79.36,20% target,1,9090.90909090909,1000,1818.181818181818,818.181818181818
ABEV3.SA,20,2025-10-28,12.03,0.01,12.03,2025-11-21,24,0.06,2025-10-30,0.62,0.55,871.77,20% target,2,16666.666666666668,1000,10333.333333333334,9333.333333333334
ABEV3.SA,21,2025-12-03,14.15,0.0106,14.15,2026-01-16,44,0.14,2025-12-05,0.41,0.27,201.83,20% target,2,7142.857142857142,1000,2928.571428571428,1928.571428571428
