date,symbol,volatility
1970-05-17,PETR4.SA,0.018043327893642876
1970-05-18,PETR4.SA,0.017978189549506012
1970-05-19,PETR4.SA,0.016250610630436077
1970-05-20,PETR4.SA,0.016132908390360193
1970-05-21,PETR4.SA,0.01687870168733086
1970-05-22,PETR4.SA,0.016751670737907638
1970-05-23,PETR4.SA,0.020530966497508917
1970-05-24,PETR4.SA,0.01755419058422151
1970-05-25,PETR4.SA,0.01977346086346769
1970-05-26,PETR4.SA,0.020186401934972356
1970-05-27,PETR4.SA,0.020192739797313102
1970-05-28,PETR4.SA,0.019990706207155345
1970-05-29,PETR4.SA,0.02121746628629704
1970-05-30,PETR4.SA,0.02125236291946424
1970-05-31,PETR4.SA,0.020969673129474783
1970-06-01,PETR4.SA,0.021011609667120207
1970-06-02,PETR4.SA,0.020790902498659232
1970-06-03,PETR4.SA,0.02020173821880622
1970-06-04,PETR4.SA,0.020172719735088107
1970-06-05,PETR4.SA,0.020097264325221357
1970-06-06,PETR4.SA,0.02048054571667259
1970-06-07,PETR4.SA,0.020534446867353146
1970-06-08,PETR4.SA,0.020233475764396155
1970-06-09,PETR4.SA,0.019905419965021483
1970-06-10,PETR4.SA,0.019931791098385016
1970-06-11,PETR4.SA,0.02313690276129317
1970-06-12,PETR4.SA,0.01918317227294621
1970-06-13,PETR4.SA,0.0192489219488104
1970-06-14,PETR4.SA,0.016826815269677903
1970-06-15,PETR4.SA,0.016257436738155277
1970-06-16,PETR4.SA,0.016232614273942184
1970-06-17,PETR4.SA,0.0169452453311043
1970-06-18,PETR4.SA,0.015727405118740587
1970-06-19,PETR4.SA,0.016053391653874753
1970-06-20,PETR4.SA,0.017339420488510917
1970-06-21,PETR4.SA,0.017325631682856245
1970-06-22,PETR4.SA,0.017424544944183187
1970-06-23,PETR4.SA,0.017399530115712162
1970-06-24,PETR4.SA,0.017394584883130573
1970-06-25,PETR4.SA,0.017916054494320148
1970-06-26,PETR4.SA,0.01810967959222782
1970-06-27,PETR4.SA,0.018055416229456583
1970-06-28,PETR4.SA,0.01806770902564025
1970-06-29,PETR4.SA,0.01788870376454961
1970-06-30,PETR4.SA,0.01676368742045633
1970-07-01,PETR4.SA,0.01343345398687719
1970-07-02,PETR4.SA,0.01345824643595423
1970-07-03,PETR4.SA,0.013284481509823044
1970-07-04,PETR4.SA,0.014419496505468732
1970-07-05,PETR4.SA,0.015855767652636438
1970-07-06,PETR4.SA,0.01587270893323185
1970-07-07,PETR4.SA,0.014855575410505853
1970-07-08,PETR4.SA,0.01485832063247209
1970-07-09,PETR4.SA,0.01464560498294025
1970-07-10,PETR4.SA,0.015795185946069407
1970-07-11,PETR4.SA,0.015776202690586886
1970-07-12,PETR4.SA,0.016699524610230294
1970-07-13,PETR4.SA,0.01914159341245279
1970-07-14,PETR4.SA,0.019168449028007427
1970-07-15,PETR4.SA,0.01876905356942528
1970-07-16,PETR4.SA,0.01929077572100141
1970-07-17,PETR4.SA,0.019349603786927173
1970-07-18,PETR4.SA,0.019998937723289627
1970-07-19,PETR4.SA,0.020358060713166648
1970-07-20,PETR4.SA,0.020483467001758425
