symbol,start_date,end_date,initial_capital,initial_qty,final_equity,roi_pct,call_sales,call_assignments,rebuys,cdi_final_per_5000,excess_vs_cdi,excess_vs_cdi_pct
ITUB4.SA,2023-01-02,2026-04-02,5000,200,8940.045790171367,78.80091580342734,40,9,9,6897.518916070841,2042.5268741005257,29.61248673550645
PETR4.SA,2023-01-02,2026-04-02,5000,200,7659.2509551845,53.18501910369,40,7,7,6897.518916070841,761.7320391136582,11.043565786225894
BBDC4.SA,2023-01-02,2026-04-02,5000,300,6781.704345776568,35.63408691553136,40,4,4,6897.518916070841,-115.81457029427384,-1.6790757909258103
ABEV3.SA,2023-01-02,2026-04-02,5000,300,5849.208898290728,16.984177965814553,40,2,2,6897.518916070841,-1048.3100177801134,-15.198363796257352
