date,symbol,volatility,vol_pct,vol_change,vol_lag1,vol_lag5,vol_lag10,low_vol_flag,future_vol_5d,future_vol_10d,spike_5d,spike_10d,past_vol_10d,past_vol_20d,vol_drop_pct
1970-07-03,PETR4.SA,0.01328448150982304,1.328448150982304,-1.7376492613118896e-4,0.01345824643595423,0.01806770902564025,0.01739953011571216,TRUE,0.01485832063247209,0.01914159341245279,0.11847200219935525,0.4408987959596904,0.01739953011571216,0.0192489219488104,23.65034330538121
1970-09-10,PETR4.SA,0.01202185375327081,1.202185375327081,-0.00317661125119462,0.01519846500446543,0.01536315760309573,0.01555699687933976,TRUE,0.01064778744734194,0.01072864087312905,-0.11429737327781286,-0.10757183598161082,0.01555699687933976,0.01914101237155206,22.723814586372683
1970-09-11,PETR4.SA,0.01235072718638204,1.235072718638204,3.2887343311123127e-4,0.01202185375327081,0.01513335737657214,0.01555704286318891,TRUE,0.01067566232483776,0.01097816736860889,-0.13562479652139137,-0.11113190317138087,0.01555704286318891,0.01857708403235994,20.610058768904317
1970-09-12,PETR4.SA,0.01133515130545423,1.133515130545423,-0.001015575880927811,0.01235072718638204,0.01620908437649262,0.01565541460585722,TRUE,0.0108860500338969,0.01105908789162611,-0.03962022733134857,-0.02435462980501051,0.01565541460585722,0.01939290451539029,27.59596861003371
1970-09-13,PETR4.SA,0.01119307138123086,1.119307138123086,-1.4207992422336953e-4,0.01133515130545423,0.0153503522946236,0.01583894807121,TRUE,0.01078975993278438,0.01318718742531862,-0.0360322412597827,0.1781562875969504,0.01583894807121,0.01938477696084924,29.33197753469384
1970-09-14,PETR4.SA,0.01076962296129297,1.076962296129297,-4.234484199378899e-4,0.01119307138123086,0.01519846500446543,0.01559489300575349,TRUE,0.01071807368177646,0.01357511318432125,-0.004786544496662812,0.26050031956656927,0.01559489300575349,0.01827597514345143,30.941347546791842
1970-09-15,PETR4.SA,0.01064778744734194,1.064778744734194,-1.2183551395103e-4,0.01076962296129297,0.01202185375327081,0.01536315760309573,TRUE,0.01072864087312905,0.01372689056955049,0.007593448515662572,0.289177741144448,0.01536315760309573,0.01830587328950987,30.69271485442307
1970-09-16,PETR4.SA,0.01067566232483776,1.067566232483776,2.787487749581971e-5,0.01064778744734194,0.01235072718638204,0.01513335737657214,TRUE,0.01097816736860889,0.01370006171457633,0.02833595092899567,0.2832985249732065,0.01513335737657214,0.01866686043489728,29.45608790442834
1970-09-17,PETR4.SA,0.0108860500338969,1.0886050033896901,2.1038770905914064e-4,0.01067566232483776,0.01133515130545423,0.01620908437649262,TRUE,0.01105908789162611,0.0122425637190571,0.015895375934375254,0.12461027470352401,0.01620908437649262,0.01706149400169599,32.83982129376476
1970-09-18,PETR4.SA,0.01078975993278438,1.078975993278438,-9.629010111252001e-5,0.0108860500338969,0.01119307138123086,0.0153503522946236,TRUE,0.01318718742531862,0.01255633007911737,0.22219470196456587,0.16372654788780944,0.0153503522946236,0.01734780993114473,29.71001755729442
1970-09-19,PETR4.SA,0.01071807368177646,1.0718073681776459,-7.168625100792067e-5,0.01078975993278438,0.01076962296129297,0.01519846500446543,TRUE,0.01357511318432125,0.01310329078451952,0.2665627786644636,0.22254158476243324,0.01519846500446543,0.0174258912316651,29.479235708162598
1970-09-20,PETR4.SA,0.01072864087312905,1.072864087312905,1.0567191352589544e-5,0.01071807368177646,0.01064778744734194,0.01202185375327081,TRUE,0.01372689056955049,0.01287360997019383,0.2794622107196128,0.19992924755614375,0.01202185375327081,0.01555699687933976,10.757183598161083
1970-09-21,PETR4.SA,0.01097816736860889,1.097816736860889,2.495264954798411e-4,0.01072864087312905,0.01067566232483776,0.01235072718638204,TRUE,0.01370006171457633,0.01260441342786674,0.2479370421834211,0.14813456605771547,0.01235072718638204,0.01555704286318891,11.113190317138088
1970-09-22,PETR4.SA,0.01105908789162611,1.105908789162611,8.092052301721976e-5,0.01097816736860889,0.0108860500338969,0.01133515130545423,TRUE,0.0122425637190571,0.01237270448786073,0.1070138730271881,0.11878163996049651,0.01133515130545423,0.01565541460585722,2.435462980501051
1970-09-23,PETR4.SA,0.01318718742531862,1.318718742531862,0.00212809953369251,0.01105908789162611,0.01078975993278438,0.01119307138123086,TRUE,0.01255633007911737,0.0127182545068471,-0.04783865777095436,-0.03555973714085506,0.01119307138123086,0.01583894807121,-17.81562875969504
1970-09-27,PETR4.SA,0.0122425637190571,1.22425637190571,-0.0014574979955192299,0.01370006171457633,0.01105908789162611,0.0108860500338969,TRUE,0.01237270448786073,0.01416053392821964,0.010630189214457478,0.15666409856433713,0.0108860500338969,0.01620908437649262,-12.4610274703524
1970-09-28,PETR4.SA,0.01255633007911737,1.255633007911737,3.1376636006026984e-4,0.0122425637190571,0.01318718742531862,0.01078975993278438,TRUE,0.0127182545068471,0.01397026951342994,0.012895840321928934,0.11260769869885108,0.01078975993278438,0.0153503522946236,-16.372654788780945
1970-09-29,PETR4.SA,0.01310329078451952,1.3103290784519521,5.469607054021507e-4,0.01255633007911737,0.01357511318432125,0.01071807368177646,TRUE,0.01335271807464287,0.01424769808180463,0.019035469350800572,0.08733739608657197,0.01071807368177646,0.01519846500446543,-22.254158476243326
1970-09-30,PETR4.SA,0.01287360997019383,1.287360997019383,-2.2968081432569142e-4,0.01310329078451952,0.01372689056955049,0.01072864087312905,TRUE,0.01348919412140826,0.01428341509666164,0.04781752380565263,0.10951125051418532,0.01072864087312905,0.01202185375327081,-19.992924755614375
1970-10-01,PETR4.SA,0.01260441342786674,1.260441342786674,-2.691965423270888e-4,0.01287360997019383,0.01370006171457633,0.01097816736860889,TRUE,0.01437639436792054,0.01450863435172835,0.14058416523661288,0.15107572714582831,0.01097816736860889,0.01235072718638204,-14.813456605771547
1970-10-02,PETR4.SA,0.01237270448786073,1.2372704487860728,-2.3170894000601114e-4,0.01260441342786674,0.0122425637190571,0.01105908789162611,TRUE,0.01416053392821964,0.01447609651307,0.14449786965436773,0.1700026075360467,0.01105908789162611,0.01133515130545423,-11.87816399604965
1970-10-03,PETR4.SA,0.0127182545068471,1.27182545068471,3.455500189863715e-4,0.01237270448786073,0.01255633007911737,0.01318718742531862,TRUE,0.01397026951342994,0.01292795520679605,0.09844236140335091,0.016488166661239048,0.01318718742531862,0.01119307138123086,3.5559737140855057
1970-10-13,PETR4.SA,0.01292795520679605,1.2927955206796051,-0.00154814130627395,0.01447609651307,0.01397026951342994,0.0127182545068471,TRUE,0.01663323900170919,0.02725091786434602,0.2866101974862445,1.1079062719849604,0.0127182545068471,0.01318718742531862,-1.6488166661239048
1970-10-14,PETR4.SA,0.01260795976800227,1.260795976800227,-3.199954387937808e-4,0.01292795520679605,0.01424769808180463,0.01335271807464287,TRUE,0.01642584793623234,0.0286550637674204,0.302815700437075,1.2727756349718107,0.01335271807464287,0.01357511318432125,5.577578306359316
1970-11-19,PETR4.SA,0.01306178962499424,1.306178962499424,-3.116270471974804e-4,0.01337341667219172,0.01340414699621738,0.02717942337666529,TRUE,0.01200021619531464,0.0174351984032134,-0.08127319916776465,0.3348246223358607,0.02717942337666529,0.02756791257494424,51.94235932095472
1970-11-20,PETR4.SA,0.01099916174432826,1.099916174432826,-0.0020626278806659785,0.01306178962499424,0.01360123772453245,0.02716044275070722,TRUE,0.01233196834388462,0.01746127424030432,0.12117347035501343,0.5875095435621047,0.02716044275070722,0.02793867125704595,59.503010148677134
1970-11-21,PETR4.SA,0.01164580374945865,1.164580374945865,6.466420051303885e-4,0.01099916174432826,0.01366122868214079,0.0163309117775947,TRUE,0.01240869583295358,0.01740839239829329,0.06550789450924704,0.49482103363647284,0.0163309117775947,0.02823093363789767,28.688588193610936
1970-11-22,PETR4.SA,0.01164631945452473,1.1646319454524732,5.157050660814511e-7,0.01164580374945865,0.01363804423719618,0.01454460570923171,TRUE,0.01162892514634816,0.01763456840395939,-0.0014935455140562552,0.5141752270163047,0.01454460570923171,0.02806877650658152,19.92688088386877
1970-11-23,PETR4.SA,0.01135880449717914,1.135880449717914,-2.875149573455908e-4,0.01164631945452473,0.01337341667219172,0.01364819335288947,TRUE,0.01141783563767131,0.01715246951660377,0.005196950128583441,0.5100594011335821,0.01364819335288947,0.02803123285851906,16.77429969312123
