symbol,date,equity
PETR4.SA,2023-01-02,1000
PETR4.SA,2023-01-03,1000
PETR4.SA,2023-01-04,1000
PETR4.SA,2023-01-05,1000
PETR4.SA,2023-01-06,1000
PETR4.SA,2023-01-09,1000
PETR4.SA,2023-01-10,1000
PETR4.SA,2023-01-11,1000
PETR4.SA,2023-01-12,1000
PETR4.SA,2023-01-13,1000
PETR4.SA,2023-01-16,1000
PETR4.SA,2023-01-17,1000
PETR4.SA,2023-01-18,1000
PETR4.SA,2023-01-19,1000
PETR4.SA,2023-01-20,1000
PETR4.SA,2023-01-23,1000
PETR4.SA,2023-01-24,1000
PETR4.SA,2023-01-25,1000
PETR4.SA,2023-01-26,1000
PETR4.SA,2023-01-27,1000
PETR4.SA,2023-01-30,1000
PETR4.SA,2023-01-31,1000
PETR4.SA,2023-02-01,1000
PETR4.SA,2023-02-02,1000
PETR4.SA,2023-02-03,1000
PETR4.SA,2023-02-06,1000
PETR4.SA,2023-02-07,1000
PETR4.SA,2023-02-08,1000
PETR4.SA,2023-02-09,1000
PETR4.SA,2023-02-10,1000
PETR4.SA,2023-02-13,1000
PETR4.SA,2023-02-14,1000
PETR4.SA,2023-02-15,1000
PETR4.SA,2023-02-16,1000
PETR4.SA,2023-02-17,1000
PETR4.SA,2023-02-22,1000
PETR4.SA,2023-02-23,1000
PETR4.SA,2023-02-24,1000
PETR4.SA,2023-02-27,1000
PETR4.SA,2023-02-28,1000
PETR4.SA,2023-03-01,1000
PETR4.SA,2023-03-02,1000
PETR4.SA,2023-03-03,1000
PETR4.SA,2023-03-06,1000
PETR4.SA,2023-03-07,1000
PETR4.SA,2023-03-08,1000
PETR4.SA,2023-03-09,1000
PETR4.SA,2023-03-10,1000
PETR4.SA,2023-03-13,1015.1609255384791
PETR4.SA,2023-03-14,1015.1609255384791
PETR4.SA,2023-03-15,1015.1609255384791
PETR4.SA,2023-03-16,1015.1609255384791
PETR4.SA,2023-03-17,987.2809130262721
PETR4.SA,2023-03-20,963.5009161543238
PETR4.SA,2023-03-21,982.770888001858
PETR4.SA,2023-03-22,979.900900514065
PETR4.SA,2023-03-23,958.1708723615992
PETR4.SA,2023-03-24,957.7609411787379
PETR4.SA,2023-03-27,973.7509161543238
PETR4.SA,2023-03-28,990.5609098982203
PETR4.SA,2023-03-29,1003.270888001858
PETR4.SA,2023-03-30,1006.140875489651
PETR4.SA,2023-03-31,984.8209349226344
PETR4.SA,2023-04-03,1027.4608942579616
PETR4.SA,2023-04-04,1018.4409224104273
PETR4.SA,2023-04-05,1021.7209192823756
PETR4.SA,2023-04-06,1007.3709036421168
PETR4.SA,2023-04-10,1028.2809130262722
PETR4.SA,2023-04-11,1102.4277329033778
PETR4.SA,2023-04-12,1110.21775479974
PETR4.SA,2023-04-13,1117.597767311947
PETR4.SA,2023-04-14,1128.6677078789637
PETR4.SA,2023-04-17,1145.4777016228602
PETR4.SA,2023-04-18,1173.3577141350672
PETR4.SA,2023-04-19,1137.2777485436366
PETR4.SA,2023-04-20,1102.4277329033778
PETR4.SA,2023-04-24,1102.4277329033778
PETR4.SA,2023-04-25,1102.4277329033778
PETR4.SA,2023-04-26,1102.4277329033778
PETR4.SA,2023-04-27,1102.4277329033778
PETR4.SA,2023-04-28,1102.4277329033778
PETR4.SA,2023-05-02,1102.4277329033778
PETR4.SA,2023-05-03,1102.4277329033778
PETR4.SA,2023-05-04,1102.4277329033778
PETR4.SA,2023-05-05,1102.4277329033778
PETR4.SA,2023-05-08,1102.4277329033778
PETR4.SA,2023-05-09,1102.4277329033778
PETR4.SA,2023-05-10,1102.4277329033778
PETR4.SA,2023-05-11,1102.4277329033778
PETR4.SA,2023-05-12,1102.4277329033778
PETR4.SA,2023-05-15,1102.4277329033778
PETR4.SA,2023-05-16,1102.4277329033778
PETR4.SA,2023-05-17,1102.4277329033778
PETR4.SA,2023-05-18,1102.4277329033778
PETR4.SA,2023-05-19,1102.4277329033778
PETR4.SA,2023-05-22,1102.4277329033778
PETR4.SA,2023-05-23,1102.4277329033778
PETR4.SA,2023-05-24,1102.4277329033778
PETR4.SA,2023-05-25,1102.4277329033778
PETR4.SA,2023-05-26,1102.4277329033778
PETR4.SA,2023-05-29,1102.4277329033778
PETR4.SA,2023-05-30,1102.4277329033778
PETR4.SA,2023-05-31,1102.4277329033778
PETR4.SA,2023-06-01,1102.4277329033778
PETR4.SA,2023-06-02,1102.4277329033778
PETR4.SA,2023-06-05,1102.4277329033778
PETR4.SA,2023-06-06,1102.4277329033778
PETR4.SA,2023-06-07,1102.4277329033778
PETR4.SA,2023-06-09,1102.4277329033778
PETR4.SA,2023-06-12,1102.4277329033778
PETR4.SA,2023-06-13,1102.4277329033778
PETR4.SA,2023-06-14,1102.4277329033778
PETR4.SA,2023-06-15,1102.4277329033778
PETR4.SA,2023-06-16,1102.4277329033778
PETR4.SA,2023-06-19,1102.4277329033778
PETR4.SA,2023-06-20,1102.4277329033778
PETR4.SA,2023-06-21,1102.4277329033778
PETR4.SA,2023-06-22,1102.4277329033778
PETR4.SA,2023-06-23,1102.4277329033778
PETR4.SA,2023-06-26,1102.4277329033778
PETR4.SA,2023-06-27,1102.4277329033778
PETR4.SA,2023-06-28,1102.4277329033778
PETR4.SA,2023-06-29,1102.4277329033778
PETR4.SA,2023-06-30,1102.4277329033778
PETR4.SA,2023-07-03,1102.4277329033778
PETR4.SA,2023-07-04,1102.4277329033778
PETR4.SA,2023-07-05,1102.4277329033778
PETR4.SA,2023-07-06,1102.4277329033778
PETR4.SA,2023-07-07,1102.4277329033778
PETR4.SA,2023-07-10,1102.4277329033778
PETR4.SA,2023-07-11,1102.4277329033778
PETR4.SA,2023-07-12,1102.4277329033778
PETR4.SA,2023-07-13,1102.4277329033778
PETR4.SA,2023-07-14,1102.4277329033778
PETR4.SA,2023-07-17,1102.4277329033778
PETR4.SA,2023-07-18,1102.4277329033778
PETR4.SA,2023-07-19,1102.4277329033778
PETR4.SA,2023-07-20,1102.4277329033778
PETR4.SA,2023-07-21,1102.4277329033778
PETR4.SA,2023-07-24,1102.4277329033778
PETR4.SA,2023-07-25,1102.4277329033778
PETR4.SA,2023-07-26,1102.4277329033778
PETR4.SA,2023-07-27,1102.4277329033778
PETR4.SA,2023-07-28,1102.4277329033778
PETR4.SA,2023-07-31,1102.4277329033778
PETR4.SA,2023-08-01,1102.4277329033778
PETR4.SA,2023-08-02,1102.4277329033778
PETR4.SA,2023-08-03,1102.4277329033778
PETR4.SA,2023-08-04,1102.4277329033778
PETR4.SA,2023-08-07,1102.4277329033778
PETR4.SA,2023-08-08,1102.4277329033778
PETR4.SA,2023-08-09,1102.4277329033778
PETR4.SA,2023-08-10,1102.4277329033778
PETR4.SA,2023-08-11,1102.4277329033778
PETR4.SA,2023-08-14,1102.4277329033778
PETR4.SA,2023-08-15,1102.4277329033778
PETR4.SA,2023-08-16,1102.4277329033778
PETR4.SA,2023-08-17,1102.4277329033778
PETR4.SA,2023-08-18,1102.4277329033778
PETR4.SA,2023-08-21,1102.4277329033778
PETR4.SA,2023-08-22,1102.4277329033778
PETR4.SA,2023-08-23,1102.4277329033778
PETR4.SA,2023-08-24,1102.4277329033778
PETR4.SA,2023-08-25,1102.4277329033778
PETR4.SA,2023-08-28,1102.4277329033778
PETR4.SA,2023-08-29,1102.4277329033778
PETR4.SA,2023-08-30,1102.4277329033778
PETR4.SA,2023-08-31,1102.4277329033778
PETR4.SA,2023-09-01,1102.4277329033778
PETR4.SA,2023-09-04,1102.4277329033778
PETR4.SA,2023-09-05,1102.4277329033778
PETR4.SA,2023-09-06,1102.4277329033778
PETR4.SA,2023-09-08,1102.4277329033778
PETR4.SA,2023-09-11,1102.4277329033778
PETR4.SA,2023-09-12,1102.4277329033778
PETR4.SA,2023-09-13,1102.4277329033778
PETR4.SA,2023-09-14,1102.4277329033778
PETR4.SA,2023-09-15,1102.4277329033778
PETR4.SA,2023-09-18,1102.4277329033778
PETR4.SA,2023-09-19,1102.4277329033778
PETR4.SA,2023-09-20,1102.4277329033778
PETR4.SA,2023-09-21,1102.4277329033778
PETR4.SA,2023-09-22,1102.4277329033778
PETR4.SA,2023-09-25,1102.4277329033778
PETR4.SA,2023-09-26,1102.4277329033778
PETR4.SA,2023-09-27,1102.4277329033778
PETR4.SA,2023-09-28,1102.4277329033778
PETR4.SA,2023-09-29,1102.4277329033778
PETR4.SA,2023-10-02,1102.4277329033778
PETR4.SA,2023-10-03,1102.4277329033778
PETR4.SA,2023-10-04,1128.378074061362
PETR4.SA,2023-10-05,1128.378074061362
PETR4.SA,2023-10-06,1128.378074061362
PETR4.SA,2023-10-09,1128.378074061362
PETR4.SA,2023-10-10,1128.378074061362
PETR4.SA,2023-10-11,1128.378074061362
PETR4.SA,2023-10-13,1128.378074061362
PETR4.SA,2023-10-16,1128.378074061362
PETR4.SA,2023-10-17,1128.378074061362
PETR4.SA,2023-10-18,1128.378074061362
PETR4.SA,2023-10-19,1128.378074061362
PETR4.SA,2023-10-20,1128.378074061362
