target,trades,capital,total_pnl,total_return_pct,win_rate_pct,avg_hold_days,median_hold_days,avg_pnl_trade,start_date,end_date,period_days,cdi_pnl,cdi_return_pct,excess_vs_cdi,outperf_x
20%,19,19000,40540.82566810256,213.37276667422398,100,3.263157894736842,3,2133.7276667422398,2023-09-25,2026-03-02,889,3917.1733183345464,20.616701675444983,36623.65234976801,10.349510316112127
30%,19,19000,40662.03778931468,214.01072520691935,100,3.4210526315789473,3,2140.1072520691937,2023-09-25,2026-03-02,889,3917.1733183345464,20.616701675444983,36744.86447098013,10.38045408892013
