date,close,lower_band,upper_band,cash,stock_qty,equity,open_put,open_call
2023-01-02,22.920000076293945,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-03,22.34000015258789,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-04,23.049999237060547,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-05,23.8799991607666,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-06,23.739999771118164,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-09,23.8700008392334,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-10,24.09000015258789,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-11,24.280000686645508,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-12,24.6299991607666,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-13,24.56999969482422,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-16,24.040000915527344,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-17,25.520000457763672,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-18,25.06999969482422,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-19,25.889999389648438,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-20,26.3700008392334,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-23,26.790000915527344,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-24,26.600000381469727,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-25,26.940000534057617,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-26,26.25,NA,NA,1000,0,1000,FALSE,FALSE
2023-01-27,25.6200008392334,22.150711592076394,27.495288697840596,1000,0,1000,FALSE,FALSE
2023-01-30,25.75,22.413300225777526,27.51570005651007,1000,0,1000,FALSE,FALSE
2023-01-31,26.06999969482422,22.86269990697092,27.439300329540313,1000,0,1000,FALSE,FALSE
2023-02-01,25.709999084472656,23.199481726592847,27.368518494659593,1000,0,1000,FALSE,FALSE
2023-02-02,24.520000457763672,23.300158853038962,27.331841497913185,1000,0,1000,FALSE,FALSE
2023-02-03,24.790000915527344,23.468192151726907,27.26880831366616,1000,0,1000,FALSE,FALSE
2023-02-06,25.780000686645508,23.686514290747127,27.24148615938715,1000,0,1000,FALSE,FALSE
2023-02-07,25.6200008392334,23.878170802226865,27.202829716571966,1000,0,1000,FALSE,FALSE
2023-02-08,26.049999237060547,24.05860014789703,27.1994002259433,1000,0,1000,FALSE,FALSE
2023-02-09,25.93000030517578,24.188086615476614,27.199913872804636,1000,0,1000,FALSE,FALSE
2023-02-10,26.719999313354492,24.325217648988954,27.27778280114532,1000,0,1000,FALSE,FALSE
2023-02-13,26.799999237060547,24.642558188328678,27.23644209395892,1000,0,1000,FALSE,FALSE
2023-02-14,26.700000762939453,24.67614972476623,27.320850588038947,1000,0,1000,FALSE,FALSE
2023-02-15,26.739999771118164,24.7942644047942,27.36973591564037,1000,0,1000,FALSE,FALSE
2023-02-16,26.850000381469727,24.803486219855344,27.456514199761358,1000,0,1000,FALSE,FALSE
2023-02-17,26.440000534057617,24.804105465452768,27.462894923646356,1000,0,1000,FALSE,FALSE
2023-02-22,25.760000228881836,24.77877986527582,27.38522045515875,1000,0,1000,FALSE,FALSE
2023-02-23,26.549999237060547,24.780077955523335,27.378922250470314,1000,0,1000,FALSE,FALSE
2023-02-24,25.899999618530273,24.788131756546594,27.26686835789432,1000,0,1000,FALSE,FALSE
2023-02-27,26.149999618530273,24.785958988464788,27.259041087829157,1000,0,1000,FALSE,FALSE
2023-02-28,25.239999771118164,24.731631291838422,27.275368677644,1000,0,1000,FALSE,FALSE
2023-03-01,25.299999237060547,24.67648655951671,27.285513333671766,1000,0,1000,FALSE,FALSE
2023-03-02,24.639999389648438,24.481431839105518,27.33756802356538,1000,0,1000,FALSE,FALSE
2023-03-03,25.700000762939453,24.480645948819788,27.337354081697793,1000,0,1000,FALSE,FALSE
2023-03-06,25.959999084472656,24.702674633721415,27.25932525946706,1000,0,1000,FALSE,FALSE
2023-03-07,25.100000381469727,24.769841484469328,27.223158355313384,1000,0,1000,FALSE,FALSE
2023-03-08,25.420000076293945,24.729303770611057,27.2276960081365,1000,0,1000,FALSE,FALSE
2023-03-09,25.309999465942383,24.688949513989474,27.237050127428983,1000,0,1000,FALSE,FALSE
2023-03-10,24.979999542236328,24.566555562965622,27.252444108970412,1000,0,1000,FALSE,FALSE
2023-03-13,24.190000534057617,24.284814949794416,27.360184745029805,1015.1609255384791,0,1015.1609255384791,TRUE,FALSE
2023-03-14,23.760000228881836,23.952135595028857,27.396864191348094,1015.1609255384791,0,1015.1609255384791,TRUE,FALSE
2023-03-15,23.34000015258789,23.58226808947638,27.42073178845331,1015.1609255384791,0,1015.1609255384791,TRUE,FALSE
2023-03-16,23.260000228881836,23.26003181625405,27.398968008269875,1015.1609255384791,0,1015.1609255384791,TRUE,FALSE
2023-03-17,23.510000228881836,23.060256336141112,27.27574353415918,23.370903642116787,41,987.2809130262721,FALSE,FALSE
2023-03-20,22.93000030517578,22.798334262091135,27.145665600579765,23.370903642116787,41,963.5009161543238,FALSE,FALSE
2023-03-21,23.399999618530273,22.653057747715835,26.986942023402328,23.370903642116787,41,982.770888001858,FALSE,FALSE
2023-03-22,23.329999923706055,22.484027232830112,26.912972507770473,23.370903642116787,41,979.900900514065,FALSE,FALSE
2023-03-23,22.799999237060547,22.32044856709743,26.701551173503155,23.370903642116787,41,958.1708723615992,FALSE,FALSE
2023-03-24,22.790000915527344,22.14003214865758,26.570967721642713,23.370903642116787,41,957.7609411787379,FALSE,FALSE
2023-03-27,23.18000030517578,22.09692826286752,26.31707167609732,23.370903642116787,41,973.7509161543238,FALSE,FALSE
2023-03-28,23.59000015258789,22.053776043550467,26.195223933561348,23.370903642116787,41,990.5609098982203,FALSE,FALSE
2023-03-29,23.899999618530273,22.053995557826447,26.05500445743234,23.370903642116787,41,1003.270888001858,FALSE,FALSE
2023-03-30,23.969999313354492,22.038477564885774,26.003522442743623,23.370903642116787,41,1006.140875489651,FALSE,FALSE
2023-03-31,23.450000762939453,22.069704327932133,25.747295679697263,23.370903642116787,41,984.8209349226344,FALSE,FALSE
2023-04-03,24.489999771118164,22.227063702927666,25.44293637336628,23.370903642116787,41,1027.4608942579616,FALSE,FALSE
2023-04-04,24.270000457763672,22.278122148934,25.308877934989344,23.370903642116787,41,1018.4409224104273,FALSE,FALSE
2023-04-05,24.350000381469727,22.391757045576906,25.088243068864013,23.370903642116787,41,1021.7209192823756,FALSE,FALSE
2023-04-06,24,22.525092150328994,24.823908017517688,23.370903642116787,41,1007.3709036421168,FALSE,FALSE
2023-04-10,24.510000228881836,22.593798181264336,24.708202055246897,23.370903642116787,41,1028.2809130262722,FALSE,FALSE
2023-04-11,25.65999984741211,22.366126553384436,25.08287361446224,50.3677391594813,41,1102.4277329033778,FALSE,TRUE
2023-04-12,25.850000381469727,22.184373722736375,25.473626460369097,50.3677391594813,41,1110.21775479974,FALSE,TRUE
2023-04-13,26.030000686645508,22.07842945641506,25.848570780096175,50.3677391594813,41,1117.597767311947,FALSE,TRUE
2023-04-14,26.299999237060547,22.005064410322845,26.22593572700626,50.3677391594813,41,1128.6677078789637,FALSE,TRUE
2023-04-17,26.709999084472656,21.903897650454198,26.647102372433984,50.3677391594813,41,1145.4777016228602,FALSE,TRUE
2023-04-18,27.389999389648438,21.852081778046713,27.14491815328874,50.3677391594813,41,1173.3577141350672,FALSE,TRUE
2023-04-19,26.510000228881836,21.920011290089885,27.38798870228072,50.3677391594813,41,1137.2777485436366,FALSE,TRUE
2023-04-20,26.690000534057617,22.02195313357771,27.62204691982805,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-04-24,27.200000762939453,22.220663091743468,27.863337114250186,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-04-25,27.09000015258789,22.50026225192074,28.01373787777897,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-04-26,26.75,22.779341441383117,28.09165865779901,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-04-27,26.100000381469727,23.031313182247004,28.090686939823307,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-04-28,23.700000762939453,22.993697849693525,28.108302386817705,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-02,22.739999771118164,22.73176596516607,28.24723431712153,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-03,22.65999984741211,22.55722295037396,28.342777240360906,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-04,23.020000457763672,22.319833619590515,28.4331666398089,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-05,24,22.284597376796338,28.441402836826708,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-08,24.510000228881836,22.302352931732877,28.439647266631383,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-09,24.59000015258789,22.37408665762479,28.426913555998258,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-10,24.530000686645508,22.376251345414595,28.426748913984817,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-11,25.43000030517578,22.367021614769072,28.41297869040671,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-12,26.25,22.36986869744779,28.45013156958102,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-15,25.65999984741211,22.362201496735224,28.420798686370247,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-16,26.299999237060547,22.362201496735224,28.420798686370247,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-17,25.65999984741211,22.367072220496958,28.310928038902453,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-18,25.809999465942383,22.429728064967765,28.09027220206104,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-19,25.770000457763672,22.440108842042434,28.00589144787456,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-22,25.6200008392334,22.46133862657418,27.877661693860393,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-23,26.25,22.527000445956382,27.71699979818424,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-24,26.649999618530273,22.56535239153468,27.63464779920018,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-25,26.450000762939453,22.586292585490078,27.583707681538733,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-26,26.799999237060547,22.546901028270646,27.693099124317243,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-29,26.690000534057617,22.696342782032552,27.842657347667156,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-30,26.389999389648438,23.115476382266817,27.788523709285915,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-05-31,26.1200008392334,23.65781460538824,27.592185585346627,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-01,26.959999084472656,24.174631610713536,27.469368442692225,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-02,27.18000030517578,24.4586351676968,27.50336491622654,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-05,27.469999313354492,24.632125071343488,27.62587492102712,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-06,28.049999237060547,24.757570568098185,27.846429332719683,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-07,28.8700008392334,24.819636683589586,28.21836323248707,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-09,30.280000686645508,24.471423177335797,29.05157677688784,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-12,30.809999465942383,24.115085405762734,29.863914495055134,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
