symbol,date,close,cash,stock_qty,cost_basis,equity,open_call
PETR4.SA,2023-01-02,22.920000076293945,492.0817809572776,200,22.920000076293945,5076.081796216066,TRUE
PETR4.SA,2023-01-03,22.34000015258789,492.0817809572776,200,22.920000076293945,4960.081811474855,TRUE
PETR4.SA,2023-01-04,23.049999237060547,492.0817809572776,200,22.920000076293945,5102.081628369387,TRUE
PETR4.SA,2023-01-05,23.8799991607666,492.0817809572776,200,22.920000076293945,5268.081613110598,TRUE
PETR4.SA,2023-01-06,23.739999771118164,492.0817809572776,200,22.920000076293945,5240.08173518091,TRUE
PETR4.SA,2023-01-09,23.8700008392334,492.0817809572776,200,22.920000076293945,5266.081948803957,TRUE
PETR4.SA,2023-01-10,24.09000015258789,492.0817809572776,200,22.920000076293945,5310.081811474855,TRUE
PETR4.SA,2023-01-11,24.280000686645508,492.0817809572776,200,22.920000076293945,5348.081918286379,TRUE
PETR4.SA,2023-01-12,24.6299991607666,492.0817809572776,200,22.920000076293945,5418.081613110598,TRUE
PETR4.SA,2023-01-13,24.56999969482422,492.0817809572776,200,22.920000076293945,5406.081719922121,TRUE
PETR4.SA,2023-01-16,24.040000915527344,492.0817809572776,200,22.920000076293945,5300.081964062746,TRUE
PETR4.SA,2023-01-17,25.520000457763672,492.0817809572776,200,22.920000076293945,5596.081872510012,TRUE
PETR4.SA,2023-01-18,25.06999969482422,492.0817809572776,200,22.920000076293945,5506.081719922121,TRUE
PETR4.SA,2023-01-19,25.889999389648438,492.0817809572776,200,22.920000076293945,5670.081658886965,TRUE
PETR4.SA,2023-01-20,26.3700008392334,5305.281796979006,0,22.920000076293945,5305.281796979006,FALSE
PETR4.SA,2023-01-23,26.790000915527344,2687.195493106054,100,26.790000915527344,5366.195584658788,TRUE
PETR4.SA,2023-01-24,26.600000381469727,2687.195493106054,100,26.790000915527344,5347.195531253026,TRUE
PETR4.SA,2023-01-25,26.940000534057617,2687.195493106054,100,26.790000915527344,5381.195546511815,TRUE
PETR4.SA,2023-01-26,26.25,2687.195493106054,100,26.790000915527344,5312.195493106054,TRUE
